Actual,Predicted
0.97325003,0.98035026
0.8208333,0.8201904
1.071,1.0746562
1.5293334,1.5297896
1.2125833,1.2062341
0.8755,0.87737656
0.7356667,0.7332171
1.1135,1.1154945
0.7624167,0.7596332
1.00325,1.0092306
1.06925,1.0733495
1.1965834,1.1918774
1.3039167,1.2981952
1.22225,1.2167526
1.0975,1.1014775
0.77225006,0.77089596
0.8128333,0.8119801
0.644,0.6419727
0.7571667,0.7534754
0.98808336,0.99402905
1.0533334,1.0578518
0.8876667,0.88804096
1.0323334,1.037226
0.7425,0.7379441
0.74950004,0.7450366
0.98541665,0.99011064
0.7131667,0.70949745
0.80025005,0.79537386
0.45400006,0.44008678
0.80708337,0.8008648
0.8196667,0.8140855
0.62450004,0.6204872
0.8478334,0.84375846
0.82633334,0.82101595
1.0401666,1.042499
0.8785834,0.8753725
1.2508333,1.2433769
0.49608332,0.49170792
0.53725004,0.5351199
0.53175,0.5301938
0.56325,0.55940527
0.5223333,0.519939
0.71541667,0.70638496
0.79200006,0.78194
0.78400004,0.77371186
0.66791666,0.6619601
0.646,0.64102304
0.5531667,0.55352175
0.6309167,0.62773645
0.5465,0.54540807
0.34308338,0.3334579
0.3334167,0.32551908
0.41583335,0.40119123
0.3703333,0.3536958
0.41700006,0.40163016
0.41708338,0.40206158
0.44833332,0.4389959
0.37816668,0.35636675
0.3895834,0.3655644
0.38633335,0.3598863
0.3441667,0.31564713
0.36666667,0.33474976
0.38525003,0.3514011
0.33858335,0.3022778
0.3900833,0.35611802
0.38700002,0.35258567
0.34483337,0.30924958
0.74308336,0.7253585
0.83916664,0.82596326
0.915,0.9074638
0.47100002,0.4487775
0.5125834,0.49575394
0.5323334,0.51706076
0.64758337,0.6361902
0.43708336,0.40598917
1.4139167,1.408093
1.0015833,1.0000852
1.0816667,1.0781497
0.97566664,0.97626895
0.8814167,0.8799246
1.041,1.0407103
0.93850005,0.9412013
0.9943333,0.99751633
1.1991667,1.1907227
1.0113333,1.0155852
0.8991667,0.9034261
0.9364167,0.94189715
1.05625,1.0579791
0.85258335,0.8525211
0.9475833,0.9520386
0.95458335,0.9594405
1.16775,1.1614821
0.72533333,0.72138715
1.0084167,1.0132627
0.65575004,0.65056634
1.05875,1.0612183
1.1903334,1.1828002
0.87666667,0.8774713
0.62808335,0.62166536
1.2488333,1.2387455
0.772,0.7675674
1.1358334,1.1328756
1.0178334,1.0224165
1.0074167,1.0126891
0.6915,0.6866373
1.588,1.5892619
1.2734166,1.2635677
0.8864167,0.8883767
1.001,1.0071208
1.29275,1.2838631
1.1486666,1.146562
1.2436666,1.2356164
1.2234167,1.2160445
0.9971667,1.0041934
1.1998334,1.1942751
0.9269167,0.932285
1.1090833,1.1117412
1.6229167,1.627583
1.2081667,1.202846
1.1768334,1.1741993
1.57475,1.5776633
1.59025,1.5936831
1.18325,1.1810193
0.7388333,0.73566484
0.689,0.6840334
1.9574167,1.9537499
1.5809166,1.5820464
1.1800001,1.1772453
0.7570833,0.7524004
1.1463333,1.1452965
1.5634167,1.5641713
1.58725,1.5891023
0.8415834,0.8397995
0.50208336,0.48295093
0.9113333,0.91263217
1.04375,1.04939
0.8616667,0.86016107
1.4553334,1.4535594
0.9400833,0.9417963
0.96741664,0.97135365
0.7033334,0.6979619
0.8570833,0.85606277
1.8369167,1.8467832
1.2559167,1.2513807
1.1290834,1.1299881
1.0409167,1.0468401
1.4216666,1.4199142
1.30775,1.3037584
1.4865834,1.485841
1.1894166,1.1870147
1.2404166,1.2360667
1.3754166,1.3716311
1.3756666,1.3719096
1.2505833,1.2464497
1.0003333,1.0088172
1.1490834,1.1506926
1.3408333,1.336814
1.0931667,1.0989411
1.4459167,1.4437983
0.62241673,0.6215792
1.4705,1.467575
1.1305833,1.1305938
1.3145,1.3087215
0.90008336,0.89892876
1.1039091,1.1072994
