Actual,Predicted
0.53175,0.5178781
0.56325,0.5532617
0.5223333,0.50644237
0.71541667,0.7134999
0.79200006,0.794749
0.78400004,0.78675586
0.66791666,0.66409564
0.646,0.6420702
0.5531667,0.5424006
0.6309167,0.6262469
0.5465,0.5340952
0.34308338,0.31585234
0.3334167,0.30766326
0.41583335,0.37274557
0.3703333,0.33142453
0.41700006,0.37317944
0.41708338,0.3725003
0.44833332,0.41075152
0.37816668,0.33065975
0.3895834,0.34091347
0.38633335,0.33635342
0.3441667,0.30135667
0.36666667,0.31597835
0.38525003,0.33174193
0.33858335,0.2922029
0.3900833,0.3357712
0.38700002,0.33133
0.34483337,0.29055208
0.74308336,0.74003917
0.83916664,0.8396381
0.915,0.91673696
0.47100002,0.43555754
0.5125834,0.4911278
0.5323334,0.5143224
0.64758337,0.6388435
0.43708336,0.3881405
1.4139167,1.4029355
1.0015833,1.0019647
1.0816667,1.0766509
0.97566664,0.97765994
0.8814167,0.884995
1.041,1.039399
0.93850005,0.9416429
0.9943333,0.9950951
1.1991667,1.1878018
1.0113333,1.0104251
0.8991667,0.90232784
0.9364167,0.9398011
1.05625,1.0533799
0.85258335,0.8573359
0.9475833,0.9514345
0.95458335,0.9583955
1.16775,1.1575915
0.72533333,0.7264193
1.0084167,1.0088847
0.65575004,0.64919305
1.05875,1.0547067
1.1903334,1.1782688
0.87666667,0.88146555
0.62808335,0.6193342
1.2488333,1.2335377
0.772,0.77456534
1.1358334,1.1255243
1.0178334,1.0155915
1.0074167,1.005748
0.6915,0.6865101
1.588,1.586449
1.2734166,1.2566943
0.8864167,0.88978595
1.001,1.0014737
1.29275,1.2769266
1.1486666,1.1401998
1.2436666,1.2306623
1.2234167,1.2114178
0.9971667,0.99926555
1.1998334,1.1889194
0.9269167,0.930896
1.1090833,1.1025149
1.6229167,1.627537
1.2081667,1.1989625
1.1768334,1.1689929
1.57475,1.580476
1.59025,1.5979258
1.18325,1.1777264
0.7388333,0.73892415
0.689,0.6850701
1.9574167,1.9782856
1.5809166,1.5917096
1.1800001,1.1756682
0.7570833,0.7575593
1.1463333,1.1431055
1.5634167,1.5736167
1.58725,1.5988436
0.8415834,0.8472929
0.50208336,0.46794444
0.9113333,0.9163331
1.04375,1.047031
0.8616667,0.8669705
1.4553334,1.452831
0.9400833,0.94495505
0.96741664,0.9716731
0.7033334,0.7014612
0.8570833,0.8619594
1.8369167,1.850167
1.2559167,1.2493992
1.1290834,1.1277872
1.0409167,1.0431575
1.4216666,1.4140134
1.30775,1.2987051
1.4865834,1.4872426
1.1894166,1.1856234
1.2404166,1.2344611
1.3754166,1.365789
1.3756666,1.3661203
1.2505833,1.24455
1.0003333,1.0052887
1.1490834,1.1479133
1.3408333,1.3324709
1.0931667,1.0943145
1.4459167,1.4426565
0.62241673,0.6152189
1.4705,1.4707539
1.1305833,1.130749
1.3145,1.306881
0.90008336,0.9049372
1.1039091,1.1054492
