Actual,Predicted
3473.625,3475.343
3584.5,3572.481
3185.4585,3189.6533
2916.2917,2945.1538
3218.7917,3223.1104
3487.0417,3484.8079
3434.875,3437.9692
3521.9585,3516.2188
3565.1667,3555.2502
3185.7085,3190.6445
2934.125,2961.7437
3328.5,3333.1487
3503.8335,3501.223
3670.0417,3649.3857
3977.9585,3934.9062
3883.8335,3849.5393
3272.25,3275.9658
2810.2917,2846.4536
3299.6667,3303.4697
3530.5417,3522.648
3431.125,3433.5444
3424.125,3426.3994
3405.25,3408.1194
2985.5,3009.8909
2686.75,2730.3516
3029.6667,3052.5503
3265.625,3268.7502
3476.375,3471.3762
3528.1667,3515.573
3485.2085,3478.447
3244.2917,3246.7756
3022.25,3044.9143
3576.5,3556.0295
3765.5,3728.8625
3695.4585,3664.4922
3630.5417,3605.2002
3782.7083,3745.4333
3330.9585,3333.2275
3070.5417,3088.2024
3212.125,3215.3582
3373.4167,3375.0913
3462.5835,3459.1914
3517.25,3505.9443
3344.2085,3345.7249
3082.125,3097.9517
2754.0835,2785.192
3076.6667,3093.9497
3064.7085,3083.2756
3004.4167,3030.0312
3078.7917,3094.327
3226.8335,3228.7983
2917.8335,2948.0767
2670.5835,2694.4583
3043.4167,3064.1506
3276.25,3278.253
3187.7085,3191.021
3357.75,3359.773
3169.375,3173.5896
2863.625,2895.1223
2633.5,2651.4353
3007.2085,3031.833
3173.875,3179.8784
3221.3335,3225.3892
3224.375,3226.9807
3237.625,3238.8105
3013.5417,3033.5498
2787.375,2821.6929
3195.0417,3198.0286
3161.0417,3166.8064
3050.125,3068.4648
3113.5,3123.6982
3088.7085,3100.728
2856.3335,2888.5361
2713.0835,2744.7588
3049.5417,3068.0208
3132.4167,3141.4053
3079.9585,3094.6387
3118.5,3129.05
3132.125,3141.2856
2800.9585,2834.6555
2674.25,2705.2236
2967.4167,2994.925
3173.0835,3178.3755
3082.75,3097.3906
3140.9167,3149.0386
3125.2085,3134.953
2938.7085,2967.8037
2730.2085,2762.1055
3053.1667,3071.682
3227.875,3229.4185
3170.9167,3175.747
3190.3335,3193.381
3204.9167,3206.9058
2918.2917,2946.378
2670.25,2699.4802
3109.25,3120.666
3301.2917,3302.1494
3144.1667,3151.1926
2823.25,2855.2786
3179.5835,3183.3464
2965.375,2991.4465
2778.7085,2811.439
3066.5,3081.9158
3080.8335,3094.0417
2953.0835,2979.1465
2679.5,2708.5374
