Actual,Predicted
3007.2085,3026.0125
3173.875,3179.3066
3221.3335,3223.9417
3224.375,3226.1682
3237.625,3238.0874
3013.5417,3028.7021
2787.375,2829.5757
3195.0417,3197.1997
3161.0417,3164.9348
3050.125,3061.934
3113.5,3120.1895
3088.7085,3096.4087
2856.3335,2888.6606
2713.0835,2769.9446
3049.5417,3060.3965
3132.4167,3136.677
3079.9585,3086.7295
3118.5,3122.355
3132.125,3134.7373
2800.9585,2838.2024
2674.25,2737.8179
2967.4167,2983.36
3173.0835,3176.046
3082.75,3089.3428
3140.9167,3144.8047
3125.2085,3129.1309
2938.7085,2953.0945
2730.2085,2769.8696
3053.1667,3059.7695
3227.875,3228.1504
3170.9167,3173.7942
3190.3335,3192.2307
3204.9167,3205.7124
2918.2917,2929.3608
2670.25,2714.7332
3109.25,3113.5347
3301.2917,3297.438
3144.1667,3147.0154
2823.25,2835.0994
3179.5835,3180.1997
2965.375,2970.1724
2778.7085,2793.8284
3066.5,3067.5095
3080.8335,3080.8855
2953.0835,2955.4072
2679.5,2707.2065
