date,conso,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Tdewpoint
2016-01-11 17:00:00,60,30,19.89,47.59666666666671,19.2,44.79,19.79,44.73,19.0,45.5666666666667,17.1666666666667,55.2,7.02666666666667,84.2566666666667,17.2,41.6266666666667,18.2,48.9,17.0333333333333,45.53,6.6,5.3
2016-01-11 18:00:00,60,50,19.89,45.7666666666667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.9666666666667,6.263333333333329,86.09,17.1333333333333,41.2,18.1,48.59,17.0,45.29,5.9,4.7
2016-01-11 19:00:00,430,50,20.1333333333333,48.0,19.566666666666695,44.4,19.89,44.9,19.0,46.3633333333333,17.1,55.09,6.12333333333333,88.59,17.8233333333333,45.4933333333333,18.066666666666695,48.56,16.9633333333333,45.29,6.0,4.6
2016-01-11 20:00:00,80,30,20.89,51.19333333333329,20.2,46.33,20.2,48.19333333333329,18.9633333333333,48.63,17.2,57.06,5.33333333333333,86.76,17.6666666666667,43.16,18.5333333333333,50.2,16.89,45.2,6.0,4.1
2016-01-11 21:00:00,110,30,21.1333333333333,46.06,20.4266666666667,44.76,20.29,46.4333333333333,19.39,48.19333333333329,17.76,82.46,5.763333333333329,86.06333333333332,17.8566666666667,43.46,19.0,49.76,16.89,44.9666666666667,6.0,3.9
2016-01-11 22:00:00,110,20,21.5,45.1266666666667,20.79,44.6333333333333,20.39,46.0,19.6666666666667,48.0933333333333,18.9633333333333,55.33333333333329,5.59,86.325,17.79,43.4,19.29,49.1633333333333,16.8233333333333,44.59,5.6,3.7
2016-01-11 23:00:00,60,20,21.6,44.2,21.0,43.59,20.4175,45.545,21.1666666666667,46.5266666666667,19.29,51.23,5.96666666666667,84.79,17.7,42.76,19.3566666666667,49.43,16.89,44.5,5.9,3.8
2016-01-12 00:00:00,40,10,21.39,44.56,20.79,43.8633333333333,20.2,45.6633333333333,20.6333333333333,46.79,19.2,50.53,5.59,88.6333333333333,17.7,43.76,19.39,51.1633333333333,16.89,45.7,5.3,4.1
2016-01-12 01:00:00,380,20,21.075,45.3725,20.5,44.2,20.1,45.53,20.7933333333333,47.56,19.0,50.1266666666667,4.86666666666667,89.06333333333332,17.79,45.425,19.29,52.1633333333333,16.89,46.09,5.1,3.9
2016-01-12 02:00:00,40,0,20.79,46.2,20.2,44.4666666666667,20.1666666666667,45.5,21.5333333333333,45.9333333333333,18.89,50.1725,4.33333333333333,91.76,17.79,46.0,19.2225,54.7225,16.89,46.8266666666667,5.2,4.0
